1474174076.004484, 0000000000000002, 2560, 5029, 1127343, 8979, 9746423
1474174076.008452, 0000000000000001, 16, 0, 0, 0, 0
1474174076.048902, 0000000000000001, 2560, 13114, 15979798, 5178, 362500
1474174076.049078, 0000000000000001, 2816, 14557, 11576854, 15645, 13154582
1474174076.049188, 0000000000000001, 3072, 7026, 2780058, 12814, 14485693
1474174076.049284, 0000000000000001, 3328, 803, 56253, 1879, 2422404
1474174076.056687, 0000000000000002, 2816, 371, 25971, 741, 810839
1474174076.056807, 0000000000000002, 3072, 8547, 9556848, 4346, 304238
1474174076.056907, 0000000000000002, 3328, 12810, 9864791, 12757, 9860513
1474174077.998018, 0000000000000002, 2560, 5250, 1148329, 9132, 9831621
1474174078.001785, 0000000000000002, 2816, 391, 27383, 781, 854941
1474174078.013028, 0000000000000002, 3072, 8936, 9993282, 4551, 318575
1474174078.016804, 0000000000000001, 16, 0, 0, 0, 0
1474174078.023966, 0000000000000001, 2560, 13359, 16278690, 5243, 367033
1474174078.030140, 0000000000000001, 2816, 14739, 11743884, 15859, 13344178
1474174078.030449, 0000000000000002, 3328, 13348, 10219333, 13390, 10220684
1474174078.039141, 0000000000000001, 3072, 7079, 2805326, 12940, 14619994
1474174078.040879, 0000000000000001, 3328, 816, 57147, 1893, 2440429
1474174080.003974, 0000000000000002, 2560, 5043, 1129007, 8990, 9759059
1474174080.009020, 0000000000000001, 16, 0, 0, 0, 0
1474174080.013891, 0000000000000002, 2816, 377, 26439, 755, 826469
1474174080.015182, 0000000000000001, 2560, 13307, 16215393, 5254, 367817
1474174080.019480, 0000000000000001, 2816, 14771, 11747701, 15853, 13345538
1474174080.019789, 0000000000000002, 3072, 8707, 9735540, 4435, 310482
1474174080.021545, 0000000000000001, 3072, 7127, 2826720, 13060, 14739695
1474174080.022003, 0000000000000002, 3328, 13145, 10116933, 13092, 10114330
1474174080.026069, 0000000000000001, 3328, 838, 58706, 1907, 2458044
1474174082.000108, 0000000000000002, 2560, 5192, 1152420, 9163, 9922634
1474174082.005452, 0000000000000001, 16, 0, 0, 0, 0
1474174082.030727, 0000000000000001, 2560, 13169, 16047448, 5217, 365221
1474174082.039675, 0000000000000002, 2816, 380, 26604, 759, 830609
1474174082.039796, 0000000000000002, 3072, 8752, 9785229, 4451, 311634
1474174082.039896, 0000000000000002, 3328, 13139, 10101448, 13135, 10101652
1474174082.075789, 0000000000000001, 2816, 14336, 11389136, 15362, 12938855
1474174082.075977, 0000000000000001, 3072, 6882, 2732364, 12613, 14250309
1474174082.076078, 0000000000000001, 3328, 799, 55996, 1851, 2386581
1474174083.994532, 0000000000000002, 2560, 5053, 1131048, 9014, 9789318
1474174083.999589, 0000000000000002, 2816, 387, 27105, 773, 846212
1474174084.001688, 0000000000000002, 3072, 8880, 9928599, 4516, 316156
1474174084.003674, 0000000000000002, 3328, 13276, 10226899, 13228, 10222448
1474174084.008539, 0000000000000001, 16, 0, 0, 0, 0
1474174084.020798, 0000000000000001, 2560, 13322, 16235038, 5245, 367184
1474174084.037554, 0000000000000001, 2816, 14966, 11912310, 16098, 13535230
1474174084.040164, 0000000000000001, 3072, 7216, 2856202, 13172, 14875647
