0,38.27,31.14
1,31.99,31.22
2,31.97,31.21
4,31.99,31.2
8,32,31.24
16,32.07,31.23
32,35.33,34.29
64,46.26,34.71
128,43.63,36.47
256,79.04,75.37
512,75.5,75.83
1024,91.92,89.37
2048,231.34,227.68
4096,278.95,275.52
8192,282.47,282.11
16384,262.83,300.59
32768,454.39,456.62
65536,833.9,809.71
131072,1226.01,1221.07
262144,2376.82,2371.72
524288,4656.16,4657.41
1048576,9081.56,9080.29
2097152,17952.12,17945.77
4194304,35779.57,35777.76
